,,,,,,
Htno,Subcode,Subname,Internals,Grade,Credits,
21MH1A0553,R2031055,COMPUTER NETWORKS LAB,13,A+,1.5,
21MH1A0553,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0553,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21MH1A0553,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A0553,R203105B,SOFTWARE PROJECT MANAGEMENT,21,E,3,
21MH1A0554,R203102F,RENEWABLE ENERGY SOURCES,23,D,3,
21MH1A0554,R2031051,COMPUTER NETWORKS,22,D,3,
21MH1A0554,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,18,D,3,
21MH1A0554,R2031053,DATA WAREHOUSING AND DATA MINING,20,D,3,
21MH1A0554,R2031054,DATA WAREHOUSING AND DATA MINING LAB,13,A+,1.5,
21MH1A0554,R2031055,COMPUTER NETWORKS LAB,14,A+,1.5,
21MH1A0554,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0554,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21MH1A0554,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A0554,R203105B,SOFTWARE PROJECT MANAGEMENT,20,D,3,
21MH1A0555,R203102F,RENEWABLE ENERGY SOURCES,25,F,0,
21MH1A0555,R2031051,COMPUTER NETWORKS,16,F,0,
21MH1A0555,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,17,F,0,
21MH1A0555,R2031053,DATA WAREHOUSING AND DATA MINING,19,F,0,
21MH1A0555,R2031054,DATA WAREHOUSING AND DATA MINING LAB,12,B,1.5,
21MH1A0555,R2031055,COMPUTER NETWORKS LAB,14,A+,1.5,
21MH1A0555,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0555,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21MH1A0555,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A0555,R203105B,SOFTWARE PROJECT MANAGEMENT,20,F,0,
21MH1A0556,R203102F,RENEWABLE ENERGY SOURCES,24,E,3,
21MH1A0556,R2031051,COMPUTER NETWORKS,27,B,3,
21MH1A0556,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,22,B,3,
21MH1A0556,R2031053,DATA WAREHOUSING AND DATA MINING,26,D,3,
21MH1A0556,R2031054,DATA WAREHOUSING AND DATA MINING LAB,14,A+,1.5,
21MH1A0556,R2031055,COMPUTER NETWORKS LAB,14,A+,1.5,
21MH1A0556,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0556,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21MH1A0556,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A0556,R203105B,SOFTWARE PROJECT MANAGEMENT,27,C,3,
21MH1A0557,R203102F,RENEWABLE ENERGY SOURCES,24,D,3,
21MH1A0557,R2031051,COMPUTER NETWORKS,26,C,3,
21MH1A0557,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,20,A,3,
21MH1A0557,R2031053,DATA WAREHOUSING AND DATA MINING,24,A,3,
21MH1A0557,R2031054,DATA WAREHOUSING AND DATA MINING LAB,13,A,1.5,
21MH1A0557,R2031055,COMPUTER NETWORKS LAB,15,A+,1.5,
21MH1A0557,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0557,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21MH1A0557,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A0557,R203105B,SOFTWARE PROJECT MANAGEMENT,25,D,3,
21MH1A0558,R203102F,RENEWABLE ENERGY SOURCES,20,D,3,
21MH1A0558,R2031051,COMPUTER NETWORKS,21,B,3,
21MH1A0558,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,18,C,3,
21MH1A0558,R2031053,DATA WAREHOUSING AND DATA MINING,24,B,3,
21MH1A0558,R2031054,DATA WAREHOUSING AND DATA MINING LAB,14,A+,1.5,
21MH1A0558,R2031055,COMPUTER NETWORKS LAB,15,A+,1.5,
21MH1A0558,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0558,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21MH1A0558,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A0558,R203105B,SOFTWARE PROJECT MANAGEMENT,22,C,3,
21MH1A0559,R203102F,RENEWABLE ENERGY SOURCES,24,F,0,
21MH1A0559,R2031051,COMPUTER NETWORKS,17,F,0,
21MH1A0559,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,21,F,0,
21MH1A0559,R2031053,DATA WAREHOUSING AND DATA MINING,24,D,3,
21MH1A0559,R2031054,DATA WAREHOUSING AND DATA MINING LAB,14,B,1.5,
21MH1A0559,R2031055,COMPUTER NETWORKS LAB,13,A+,1.5,
21MH1A0559,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0559,R2031058,EMPLOYABILITY SKILLS-I,24,COMPLE,0,
21MH1A0559,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,B,1.5,
21MH1A0559,R203105B,SOFTWARE PROJECT MANAGEMENT,23,F,0,
21MH1A0560,R203102F,RENEWABLE ENERGY SOURCES,25,D,3,
21MH1A0560,R2031051,COMPUTER NETWORKS,26,C,3,
21MH1A0560,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,21,C,3,
21MH1A0560,R2031053,DATA WAREHOUSING AND DATA MINING,27,D,3,
21MH1A0560,R2031054,DATA WAREHOUSING AND DATA MINING LAB,14,A+,1.5,
21MH1A0560,R2031055,COMPUTER NETWORKS LAB,14,A+,1.5,
21MH1A0560,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0560,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21MH1A0560,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A0560,R203105B,SOFTWARE PROJECT MANAGEMENT,27,C,3,
21MH1A0561,R203102F,RENEWABLE ENERGY SOURCES,25,C,3,
21MH1A0561,R2031051,COMPUTER NETWORKS,25,B,3,
21MH1A0561,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,19,A,3,
21MH1A0561,R2031053,DATA WAREHOUSING AND DATA MINING,24,B,3,
21MH1A0561,R2031054,DATA WAREHOUSING AND DATA MINING LAB,13,A+,1.5,
21MH1A0561,R2031055,COMPUTER NETWORKS LAB,15,A+,1.5,
21MH1A0561,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0561,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21MH1A0561,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A0561,R203105B,SOFTWARE PROJECT MANAGEMENT,23,C,3,
21MH1A0562,R203102F,RENEWABLE ENERGY SOURCES,25,C,3,
21MH1A0562,R2031051,COMPUTER NETWORKS,23,B,3,
21MH1A0562,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,22,C,3,
21MH1A0562,R2031053,DATA WAREHOUSING AND DATA MINING,26,B,3,
21MH1A0562,R2031054,DATA WAREHOUSING AND DATA MINING LAB,13,A+,1.5,
21MH1A0562,R2031055,COMPUTER NETWORKS LAB,14,A+,1.5,
21MH1A0562,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0562,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21MH1A0562,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A0562,R203105B,SOFTWARE PROJECT MANAGEMENT,25,B,3,
21MH1A0563,R203102F,RENEWABLE ENERGY SOURCES,24,D,3,
21MH1A0563,R2031051,COMPUTER NETWORKS,24,D,3,
21MH1A0563,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,26,B,3,
21MH1A0563,R2031053,DATA WAREHOUSING AND DATA MINING,30,D,3,
21MH1A0563,R2031054,DATA WAREHOUSING AND DATA MINING LAB,15,A+,1.5,
21MH1A0563,R2031055,COMPUTER NETWORKS LAB,14,A+,1.5,
21MH1A0563,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0563,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21MH1A0563,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A0563,R203105B,SOFTWARE PROJECT MANAGEMENT,28,C,3,
21MH1A0564,R203102F,RENEWABLE ENERGY SOURCES,21,E,3,
21MH1A0564,R2031051,COMPUTER NETWORKS,23,C,3,
21MH1A0564,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,22,B,3,
21MH1A0564,R2031053,DATA WAREHOUSING AND DATA MINING,26,D,3,
21MH1A0564,R2031054,DATA WAREHOUSING AND DATA MINING LAB,14,A+,1.5,
21MH1A0564,R2031055,COMPUTER NETWORKS LAB,14,A+,1.5,
21MH1A0564,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0564,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21MH1A0564,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A0564,R203105B,SOFTWARE PROJECT MANAGEMENT,27,C,3,
21MH1A0565,R203102F,RENEWABLE ENERGY SOURCES,22,F,0,
21MH1A0565,R2031051,COMPUTER NETWORKS,24,D,3,
21MH1A0565,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,20,F,0,
21MH1A0565,R2031053,DATA WAREHOUSING AND DATA MINING,25,D,3,
21MH1A0565,R2031054,DATA WAREHOUSING AND DATA MINING LAB,14,A+,1.5,
21MH1A0565,R2031055,COMPUTER NETWORKS LAB,15,A+,1.5,
21MH1A0565,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0565,R2031058,EMPLOYABILITY SKILLS-I,25,COMPLE,0,
21MH1A0565,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A0565,R203105B,SOFTWARE PROJECT MANAGEMENT,23,D,3,
21MH1A0566,R203102F,RENEWABLE ENERGY SOURCES,23,C,3,
21MH1A0566,R2031051,COMPUTER NETWORKS,23,C,3,
21MH1A0566,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,19,C,3,
21MH1A0566,R2031053,DATA WAREHOUSING AND DATA MINING,23,C,3,
21MH1A0566,R2031054,DATA WAREHOUSING AND DATA MINING LAB,15,A+,1.5,
21MH1A0566,R2031055,COMPUTER NETWORKS LAB,14,A+,1.5,
21MH1A0566,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0566,R2031058,EMPLOYABILITY SKILLS-I,25,COMPLE,0,
21MH1A0566,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A0566,R203105B,SOFTWARE PROJECT MANAGEMENT,25,D,3,
21MH1A0567,R203102F,RENEWABLE ENERGY SOURCES,23,C,3,
21MH1A0567,R2031051,COMPUTER NETWORKS,23,D,3,
21MH1A0567,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,21,C,3,
21MH1A0567,R2031053,DATA WAREHOUSING AND DATA MINING,25,D,3,
21MH1A0567,R2031054,DATA WAREHOUSING AND DATA MINING LAB,14,A+,1.5,
21MH1A0567,R2031055,COMPUTER NETWORKS LAB,14,A+,1.5,
21MH1A0567,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0567,R2031058,EMPLOYABILITY SKILLS-I,24,COMPLE,0,
21MH1A0567,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A0567,R203105B,SOFTWARE PROJECT MANAGEMENT,28,D,3,
21MH1A0568,R203102F,RENEWABLE ENERGY SOURCES,18,E,3,
21MH1A0568,R2031051,COMPUTER NETWORKS,18,D,3,
21MH1A0568,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,16,C,3,
21MH1A0568,R2031053,DATA WAREHOUSING AND DATA MINING,17,E,3,
21MH1A0568,R2031054,DATA WAREHOUSING AND DATA MINING LAB,12,B,1.5,
21MH1A0568,R2031055,COMPUTER NETWORKS LAB,15,A+,1.5,
21MH1A0568,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0568,R2031058,EMPLOYABILITY SKILLS-I,25,COMPLE,0,
21MH1A0568,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A0568,R203105B,SOFTWARE PROJECT MANAGEMENT,24,E,3,
21MH1A0569,R203102F,RENEWABLE ENERGY SOURCES,22,C,3,
21MH1A0569,R2031051,COMPUTER NETWORKS,26,B,3,
21MH1A0569,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,23,A+,3,
21MH1A0569,R2031053,DATA WAREHOUSING AND DATA MINING,26,A,3,
21MH1A0569,R2031054,DATA WAREHOUSING AND DATA MINING LAB,14,A+,1.5,
21MH1A0569,R2031055,COMPUTER NETWORKS LAB,15,A+,1.5,
21MH1A0569,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0569,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21MH1A0569,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A0569,R203105B,SOFTWARE PROJECT MANAGEMENT,27,A,3,
21MH1A0570,R203102F,RENEWABLE ENERGY SOURCES,22,D,3,
21MH1A0570,R2031051,COMPUTER NETWORKS,20,D,3,
21MH1A0570,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,18,D,3,
21MH1A0570,R2031053,DATA WAREHOUSING AND DATA MINING,23,C,3,
21MH1A0570,R2031054,DATA WAREHOUSING AND DATA MINING LAB,14,A,1.5,
21MH1A0570,R2031055,COMPUTER NETWORKS LAB,15,A+,1.5,
21MH1A0570,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0570,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21MH1A0570,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A0570,R203105B,SOFTWARE PROJECT MANAGEMENT,22,D,3,
21MH1A0571,R203102F,RENEWABLE ENERGY SOURCES,20,F,0,
21MH1A0571,R2031051,COMPUTER NETWORKS,17,F,0,
21MH1A0571,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,16,F,0,
21MH1A0571,R2031053,DATA WAREHOUSING AND DATA MINING,24,D,3,
21MH1A0571,R2031054,DATA WAREHOUSING AND DATA MINING LAB,10,B,1.5,
21MH1A0571,R2031055,COMPUTER NETWORKS LAB,14,A+,1.5,
21MH1A0571,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0571,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21MH1A0571,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,B,1.5,
21MH1A0571,R203105B,SOFTWARE PROJECT MANAGEMENT,22,F,0,
21MH1A0572,R203102F,RENEWABLE ENERGY SOURCES,23,D,3,
21MH1A0572,R2031051,COMPUTER NETWORKS,23,B,3,
21MH1A0572,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,21,B,3,
21MH1A0572,R2031053,DATA WAREHOUSING AND DATA MINING,21,C,3,
21MH1A0572,R2031054,DATA WAREHOUSING AND DATA MINING LAB,12,A,1.5,
21MH1A0572,R2031055,COMPUTER NETWORKS LAB,13,A+,1.5,
21MH1A0572,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0572,R2031058,EMPLOYABILITY SKILLS-I,29,COMPLE,0,
21MH1A0572,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A0572,R203105B,SOFTWARE PROJECT MANAGEMENT,24,C,3,
21MH1A0573,R203102F,RENEWABLE ENERGY SOURCES,28,C,3,
21MH1A0573,R2031051,COMPUTER NETWORKS,24,B,3,
21MH1A0573,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,20,A,3,
21MH1A0573,R2031053,DATA WAREHOUSING AND DATA MINING,22,B,3,
21MH1A0573,R2031054,DATA WAREHOUSING AND DATA MINING LAB,14,A+,1.5,
21MH1A0573,R2031055,COMPUTER NETWORKS LAB,14,A+,1.5,
21MH1A0573,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0573,R2031058,EMPLOYABILITY SKILLS-I,24,COMPLE,0,
21MH1A0573,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A0573,R203105B,SOFTWARE PROJECT MANAGEMENT,23,C,3,
21MH1A0574,R203102F,RENEWABLE ENERGY SOURCES,25,C,3,
21MH1A0574,R2031051,COMPUTER NETWORKS,25,B,3,
21MH1A0574,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,22,B,3,
21MH1A0574,R2031053,DATA WAREHOUSING AND DATA MINING,24,C,3,
21MH1A0574,R2031054,DATA WAREHOUSING AND DATA MINING LAB,14,A+,1.5,
21MH1A0574,R2031055,COMPUTER NETWORKS LAB,15,A+,1.5,
21MH1A0574,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0574,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21MH1A0574,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A0574,R203105B,SOFTWARE PROJECT MANAGEMENT,26,C,3,
21MH1A0575,R203102F,RENEWABLE ENERGY SOURCES,21,E,3,
21MH1A0575,R2031051,COMPUTER NETWORKS,21,E,3,
21MH1A0575,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,22,D,3,
21MH1A0575,R2031053,DATA WAREHOUSING AND DATA MINING,23,E,3,
21MH1A0575,R2031054,DATA WAREHOUSING AND DATA MINING LAB,13,A,1.5,
21MH1A0575,R2031055,COMPUTER NETWORKS LAB,14,A+,1.5,
21MH1A0575,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0575,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21MH1A0575,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A0575,R203105B,SOFTWARE PROJECT MANAGEMENT,23,D,3,
21MH1A0576,R203102F,RENEWABLE ENERGY SOURCES,25,E,3,
21MH1A0576,R2031051,COMPUTER NETWORKS,22,B,3,
21MH1A0576,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,24,C,3,
21MH1A0576,R2031053,DATA WAREHOUSING AND DATA MINING,21,E,3,
21MH1A0576,R2031054,DATA WAREHOUSING AND DATA MINING LAB,14,A+,1.5,
21MH1A0576,R2031055,COMPUTER NETWORKS LAB,13,A+,1.5,
21MH1A0576,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0576,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21MH1A0576,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A0576,R203105B,SOFTWARE PROJECT MANAGEMENT,25,C,3,
21MH1A0577,R203102F,RENEWABLE ENERGY SOURCES,26,B,3,
21MH1A0577,R2031051,COMPUTER NETWORKS,26,B,3,
21MH1A0577,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,27,A+,3,
21MH1A0577,R2031053,DATA WAREHOUSING AND DATA MINING,30,A,3,
21MH1A0577,R2031054,DATA WAREHOUSING AND DATA MINING LAB,14,A+,1.5,
21MH1A0577,R2031055,COMPUTER NETWORKS LAB,14,A+,1.5,
21MH1A0577,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0577,R2031058,EMPLOYABILITY SKILLS-I,24,COMPLE,0,
21MH1A0577,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A0577,R203105B,SOFTWARE PROJECT MANAGEMENT,28,D,3,
21MH1A0578,R203102F,RENEWABLE ENERGY SOURCES,26,C,3,
21MH1A0578,R2031051,COMPUTER NETWORKS,28,B,3,
21MH1A0578,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,24,B,3,
21MH1A0578,R2031053,DATA WAREHOUSING AND DATA MINING,30,A,3,
21MH1A0578,R2031054,DATA WAREHOUSING AND DATA MINING LAB,14,A+,1.5,
21MH1A0578,R2031055,COMPUTER NETWORKS LAB,15,A+,1.5,
21MH1A0578,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0578,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21MH1A0578,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A0578,R203105B,SOFTWARE PROJECT MANAGEMENT,25,C,3,
21MH1A0579,R203102F,RENEWABLE ENERGY SOURCES,27,B,3,
21MH1A0579,R2031051,COMPUTER NETWORKS,26,C,3,
21MH1A0579,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,25,C,3,
21MH1A0579,R2031053,DATA WAREHOUSING AND DATA MINING,27,C,3,
21MH1A0579,R2031054,DATA WAREHOUSING AND DATA MINING LAB,15,A+,1.5,
21MH1A0579,R2031055,COMPUTER NETWORKS LAB,14,A+,1.5,
21MH1A0579,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0579,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21MH1A0579,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A0579,R203105B,SOFTWARE PROJECT MANAGEMENT,25,B,3,
21MH1A0580,R203102F,RENEWABLE ENERGY SOURCES,27,D,3,
21MH1A0580,R2031051,COMPUTER NETWORKS,24,C,3,
21MH1A0580,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,20,D,3,
21MH1A0580,R2031053,DATA WAREHOUSING AND DATA MINING,27,D,3,
21MH1A0580,R2031054,DATA WAREHOUSING AND DATA MINING LAB,14,A+,1.5,
21MH1A0580,R2031055,COMPUTER NETWORKS LAB,14,A+,1.5,
21MH1A0580,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0580,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21MH1A0580,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A0580,R203105B,SOFTWARE PROJECT MANAGEMENT,28,C,3,
21MH1A0581,R203102F,RENEWABLE ENERGY SOURCES,28,C,3,
21MH1A0581,R2031051,COMPUTER NETWORKS,27,B,3,
21MH1A0581,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,29,A+,3,
21MH1A0581,R2031053,DATA WAREHOUSING AND DATA MINING,30,A+,3,
21MH1A0581,R2031054,DATA WAREHOUSING AND DATA MINING LAB,15,A+,1.5,
21MH1A0581,R2031055,COMPUTER NETWORKS LAB,15,A+,1.5,
21MH1A0581,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0581,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21MH1A0581,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A0581,R203105B,SOFTWARE PROJECT MANAGEMENT,29,B,3,
21MH1A0582,R203102F,RENEWABLE ENERGY SOURCES,28,B,3,
21MH1A0582,R2031051,COMPUTER NETWORKS,26,C,3,
21MH1A0582,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,21,C,3,
21MH1A0582,R2031053,DATA WAREHOUSING AND DATA MINING,28,B,3,
21MH1A0582,R2031054,DATA WAREHOUSING AND DATA MINING LAB,13,A+,1.5,
21MH1A0582,R2031055,COMPUTER NETWORKS LAB,14,A+,1.5,
21MH1A0582,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0582,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21MH1A0582,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21MH1A0582,R203105B,SOFTWARE PROJECT MANAGEMENT,27,C,3,
21MH1A0583,R203102F,RENEWABLE ENERGY SOURCES,29,B,3,
21MH1A0583,R2031051,COMPUTER NETWORKS,24,C,3,
21MH1A0583,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,22,C,3,
21MH1A0583,R2031053,DATA WAREHOUSING AND DATA MINING,28,B,3,
21MH1A0583,R2031054,DATA WAREHOUSING AND DATA MINING LAB,13,A+,1.5,
21MH1A0583,R2031055,COMPUTER NETWORKS LAB,14,A+,1.5,
21MH1A0583,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0583,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21MH1A0583,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A0583,R203105B,SOFTWARE PROJECT MANAGEMENT,26,B,3,
21MH1A0584,R203102F,RENEWABLE ENERGY SOURCES,26,C,3,
21MH1A0584,R2031051,COMPUTER NETWORKS,24,B,3,
21MH1A0584,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,25,B,3,
21MH1A0584,R2031053,DATA WAREHOUSING AND DATA MINING,23,C,3,
21MH1A0584,R2031054,DATA WAREHOUSING AND DATA MINING LAB,13,A+,1.5,
21MH1A0584,R2031055,COMPUTER NETWORKS LAB,14,A+,1.5,
21MH1A0584,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0584,R2031058,EMPLOYABILITY SKILLS-I,24,COMPLE,0,
21MH1A0584,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A0584,R203105B,SOFTWARE PROJECT MANAGEMENT,24,D,3,
21MH1A0585,R203102F,RENEWABLE ENERGY SOURCES,27,C,3,
21MH1A0585,R2031051,COMPUTER NETWORKS,25,C,3,
21MH1A0585,R2031052,DESIGN AND ANALYSIS OF ALGORITHMS,21,A,3,
21MH1A0585,R2031053,DATA WAREHOUSING AND DATA MINING,27,A,3,
21MH1A0585,R2031054,DATA WAREHOUSING AND DATA MINING LAB,13,A+,1.5,
21MH1A0585,R2031055,COMPUTER NETWORKS LAB,15,A+,1.5,
21MH1A0585,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21MH1A0585,R2031058,EMPLOYABILITY SKILLS-I,24,COMPLE,0,
21MH1A0585,R2031059,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21MH1A0585,R203105B,SOFTWARE PROJECT MANAGEMENT,24,C,3,
21MH1A0586,R203102F,RENEWABLE ENERGY SOURCES,25,C,3,
21MH1A0586,R2031051,COMPUTER NETWORKS,22,C,3,
