,,,,,,
Htno,Subcode,Subname,Internals,Grade,Credits,
20MH1A0109,R2031011,STRUCTURAL ANALYSIS,18,E,3,
20MH1A0109,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,20,E,3,
20MH1A0109,R2031013,GEOTECHNICAL ENGINEERING-1,15,E,3,
20MH1A0109,R2031014,LAB SURVEY CAMP (FIELD WORK),10,B,1.5,
20MH1A0109,R2031015,GEOTECHNICAL ENGINEERING LAB,13,B,1.5,
20MH1A0109,R2031016,SKILL ADVANCED COURSE/ SOFT SKILL COURSE,0,C,2,
20MH1A0109,R2031017,(AICTE SUGGESTED) PROFESSIONAL ETHICS AN,25,COMPLE,0,
20MH1A0109,R2031018,SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF,0,B,1.5,
20MH1A0109,R203101A,CONSTRUCTION TECHNOLOGY &MANAGEMENT,14,E,3,
20MH1A0109,R203102F,RENEWABLE ENERGY SOURCES,17,E,3,
20MH1A0113,R203101B,REMOTE SENSING AND GIS,12,D,3,
20MH1A0114,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,8,F,0,
20MH1A0114,R203101B,REMOTE SENSING AND GIS,13,D,3,
20MH1A0115,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,6,F,0,
20MH1A0115,R2031013,GEOTECHNICAL ENGINEERING-1,16,E,3,
20MH1A0115,R203101B,REMOTE SENSING AND GIS,12,E,3,
20MH1A0117,R2031011,STRUCTURAL ANALYSIS,16,E,3,
20MH1A0117,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,22,D,3,
20MH1A0117,R2031013,GEOTECHNICAL ENGINEERING-1,17,E,3,
20MH1A0117,R2031014,LAB SURVEY CAMP (FIELD WORK),10,B,1.5,
20MH1A0117,R2031015,GEOTECHNICAL ENGINEERING LAB,6,D,1.5,
20MH1A0117,R2031016,SKILL ADVANCED COURSE/ SOFT SKILL COURSE,0,D,2,
20MH1A0117,R2031017,(AICTE SUGGESTED) PROFESSIONAL ETHICS AN,26,COMPLE,0,
20MH1A0117,R2031018,SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF,0,B,1.5,
20MH1A0117,R2031019,COMMUNITY SERVICE PROJECT,0,A+,4,
20MH1A0117,R203101A,CONSTRUCTION TECHNOLOGY &MANAGEMENT,15,E,3,
20MH1A0117,R203102F,RENEWABLE ENERGY SOURCES,13,E,3,
20MH1A0119,R2031011,STRUCTURAL ANALYSIS,15,E,3,
20MH1A0119,R2031013,GEOTECHNICAL ENGINEERING-1,13,E,3,
20MH1A0119,R2031015,GEOTECHNICAL ENGINEERING LAB,8,B,1.5,
20MH1A0119,R203101B,REMOTE SENSING AND GIS,12,E,3,
20MH1A0121,R2031011,STRUCTURAL ANALYSIS,18,C,3,
20MH1A0121,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,15,E,3,
20MH1A0121,R2031013,GEOTECHNICAL ENGINEERING-1,21,E,3,
20MH1A0121,R2031014,LAB SURVEY CAMP (FIELD WORK),11,B,1.5,
20MH1A0121,R2031015,GEOTECHNICAL ENGINEERING LAB,13,A,1.5,
20MH1A0121,R2031016,SKILL ADVANCED COURSE/ SOFT SKILL COURSE,0,D,2,
20MH1A0121,R2031017,(AICTE SUGGESTED) PROFESSIONAL ETHICS AN,26,COMPLE,0,
20MH1A0121,R2031018,SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF,0,B,1.5,
20MH1A0121,R2031019,COMMUNITY SERVICE PROJECT,0,A+,4,
20MH1A0121,R203101A,CONSTRUCTION TECHNOLOGY &MANAGEMENT,16,D,3,
20MH1A0121,R203102F,RENEWABLE ENERGY SOURCES,14,D,3,
20MH1A0203,R203105K,COMPUTER ORGANIZATION AND ARCHITECTURE,23,C,3,
20MH1A0204,R2031022,POWER ELECTRONICS,16,F,0,
20MH1A0204,R203105K,COMPUTER ORGANIZATION AND ARCHITECTURE,23,F,0,
20MH1A0205,R203102B,UTILIZATION OF ELECTRICAL ENERGY,16,E,3,
20MH1A0207,R2031021,POWER SYSTEMS-II,18,E,3,
20MH1A0207,R203102B,UTILIZATION OF ELECTRICAL ENERGY,19,E,3,
20MH1A0207,R203105K,COMPUTER ORGANIZATION AND ARCHITECTURE,25,F,0,
20MH1A0209,R2031021,POWER SYSTEMS-II,17,D,3,
20MH1A0209,R2031022,POWER ELECTRONICS,15,F,0,
20MH1A0209,R203105K,COMPUTER ORGANIZATION AND ARCHITECTURE,20,F,0,
20MH1A0210,R203102B,UTILIZATION OF ELECTRICAL ENERGY,24,D,3,
20MH1A0211,R2031022,POWER ELECTRONICS,20,F,0,
20MH1A0211,R2031023,CONTROL SYSTEMS,21,F,0,
20MH1A0214,R203102B,UTILIZATION OF ELECTRICAL ENERGY,19,C,3,
20MH1A0217,R2031022,POWER ELECTRONICS,18,D,3,
20MH1A0218,R2031021,POWER SYSTEMS-II,16,F,0,
20MH1A0218,R2031022,POWER ELECTRONICS,19,F,0,
20MH1A0218,R203102B,UTILIZATION OF ELECTRICAL ENERGY,10,F,0,
20MH1A0218,R203105K,COMPUTER ORGANIZATION AND ARCHITECTURE,19,F,0,
20MH1A0220,R2031021,POWER SYSTEMS-II,16,F,0,
20MH1A0220,R2031022,POWER ELECTRONICS,14,F,0,
20MH1A0220,R2031023,CONTROL SYSTEMS,21,F,0,
20MH1A0220,R203102B,UTILIZATION OF ELECTRICAL ENERGY,15,F,0,
20MH1A0220,R203105K,COMPUTER ORGANIZATION AND ARCHITECTURE,20,F,0,
20MH1A0222,R2031021,POWER SYSTEMS-II,19,C,3,
20MH1A0222,R2031022,POWER ELECTRONICS,19,F,0,
20MH1A0222,R203102B,UTILIZATION OF ELECTRICAL ENERGY,20,F,0,
20MH1A0222,R203105K,COMPUTER ORGANIZATION AND ARCHITECTURE,24,F,0,
20MH1A0223,R2031021,POWER SYSTEMS-II,16,D,3,
20MH1A0223,R2031022,POWER ELECTRONICS,16,F,0,
20MH1A0223,R203102B,UTILIZATION OF ELECTRICAL ENERGY,18,C,3,
20MH1A0224,R2031021,POWER SYSTEMS-II,12,F,0,
20MH1A0224,R2031022,POWER ELECTRONICS,14,F,0,
20MH1A0224,R2031023,CONTROL SYSTEMS,20,F,0,
20MH1A0224,R203102B,UTILIZATION OF ELECTRICAL ENERGY,14,F,0,
20MH1A0224,R203105K,COMPUTER ORGANIZATION AND ARCHITECTURE,19,F,0,
20MH1A0226,R2031021,POWER SYSTEMS-II,15,E,3,
20MH1A0226,R2031022,POWER ELECTRONICS,17,E,3,
20MH1A0226,R2031023,CONTROL SYSTEMS,19,F,0,
20MH1A0226,R203102B,UTILIZATION OF ELECTRICAL ENERGY,15,F,0,
20MH1A0226,R203105K,COMPUTER ORGANIZATION AND ARCHITECTURE,21,D,3,
20MH1A0228,R2031023,CONTROL SYSTEMS,21,F,0,
20MH1A0228,R203102B,UTILIZATION OF ELECTRICAL ENERGY,17,F,0,
20MH1A0230,R2031022,POWER ELECTRONICS,17,F,0,
20MH1A0230,R2031023,CONTROL SYSTEMS,23,F,0,
20MH1A0232,R2031022,POWER ELECTRONICS,16,F,0,
20MH1A0233,R2031022,POWER ELECTRONICS,17,F,0,
20MH1A0233,R2031023,CONTROL SYSTEMS,22,F,0,
20MH1A0237,R2031021,POWER SYSTEMS-II,14,F,0,
20MH1A0237,R2031023,CONTROL SYSTEMS,19,F,0,
20MH1A0237,R203102B,UTILIZATION OF ELECTRICAL ENERGY,10,F,0,
20MH1A0243,R2031022,POWER ELECTRONICS,17,F,0,
20MH1A0243,R2031023,CONTROL SYSTEMS,14,E,3,
20MH1A0249,R2031022,POWER ELECTRONICS,16,F,0,
20MH1A0250,R2031023,CONTROL SYSTEMS,17,F,0,
20MH1A0252,R2031023,CONTROL SYSTEMS,15,F,0,
20MH1A0252,R203105K,COMPUTER ORGANIZATION AND ARCHITECTURE,17,F,0,
20MH1A0253,R203105K,COMPUTER ORGANIZATION AND ARCHITECTURE,19,F,0,
20MH1A0254,R2031021,POWER SYSTEMS-II,15,F,0,
20MH1A0254,R2031022,POWER ELECTRONICS,15,F,0,
20MH1A0254,R2031023,CONTROL SYSTEMS,17,F,0,
20MH1A0254,R203102B,UTILIZATION OF ELECTRICAL ENERGY,13,F,0,
20MH1A0254,R203105K,COMPUTER ORGANIZATION AND ARCHITECTURE,20,F,0,
20MH1A0257,R203105K,COMPUTER ORGANIZATION AND ARCHITECTURE,17,E,3,
20MH1A0258,R2031021,POWER SYSTEMS-II,12,F,0,
20MH1A0258,R2031022,POWER ELECTRONICS,14,F,0,
20MH1A0258,R2031023,CONTROL SYSTEMS,16,F,0,
20MH1A0258,R2031024,CONTROL SYSTEMS LAB,9,C,1.5,
20MH1A0258,R203102B,UTILIZATION OF ELECTRICAL ENERGY,11,F,0,
20MH1A0258,R203105K,COMPUTER ORGANIZATION AND ARCHITECTURE,15,F,0,
20MH1A0259,R203105K,COMPUTER ORGANIZATION AND ARCHITECTURE,19,E,3,
20MH1A0301,R203103D,RENEWABLE ENERGY SOURCES,21,D,3,
20MH1A0303,R2031031,THERMAL ENGINEERING-II,24,F,0,
20MH1A0303,R2031032,DESIGN OF MACHINE MEMBERS-I,18,F,0,
20MH1A0303,R2031033,"MACHINING, MACHINE TOOLS & METROLOGY",14,F,0,
20MH1A0303,R2031035,THERMAL ENGINEERING LAB,8,C,1.5,
20MH1A0303,R203103D,RENEWABLE ENERGY SOURCES,21,F,0,
20MH1A0303,R203103I,NANO TECHNOLOGY,12,F,0,
20MH1A0304,R2031031,THERMAL ENGINEERING-II,20,E,3,
20MH1A0304,R2031032,DESIGN OF MACHINE MEMBERS-I,19,E,3,
20MH1A0304,R203103D,RENEWABLE ENERGY SOURCES,20,D,3,
20MH1A0305,R2031031,THERMAL ENGINEERING-II,19,F,0,
20MH1A0305,R2031032,DESIGN OF MACHINE MEMBERS-I,20,F,0,
20MH1A0305,R203103D,RENEWABLE ENERGY SOURCES,20,E,3,
20MH1A0305,R203103I,NANO TECHNOLOGY,14,F,0,
20MH1A0306,R2031031,THERMAL ENGINEERING-II,16,F,0,
20MH1A0306,R2031032,DESIGN OF MACHINE MEMBERS-I,18,F,0,
20MH1A0306,R2031035,THERMAL ENGINEERING LAB,9,C,1.5,
20MH1A0306,R203103I,NANO TECHNOLOGY,16,F,0,
20MH1A0307,R2031032,DESIGN OF MACHINE MEMBERS-I,13,F,0,
20MH1A0307,R2031033,"MACHINING, MACHINE TOOLS & METROLOGY",12,F,0,
20MH1A0307,R2031035,THERMAL ENGINEERING LAB,8,C,1.5,
20MH1A0307,R203103I,NANO TECHNOLOGY,13,F,0,
20MH1A0308,R2031032,DESIGN OF MACHINE MEMBERS-I,16,F,0,
20MH1A0308,R2031033,"MACHINING, MACHINE TOOLS & METROLOGY",14,F,0,
20MH1A0308,R203103D,RENEWABLE ENERGY SOURCES,18,F,0,
20MH1A0308,R203103I,NANO TECHNOLOGY,14,F,0,
20MH1A0309,R2031031,THERMAL ENGINEERING-II,25,D,3,
20MH1A0309,R2031032,DESIGN OF MACHINE MEMBERS-I,22,F,0,
20MH1A0310,R2031031,THERMAL ENGINEERING-II,24,F,0,
20MH1A0312,R2031032,DESIGN OF MACHINE MEMBERS-I,20,D,3,
20MH1A0312,R2031033,"MACHINING, MACHINE TOOLS & METROLOGY",19,F,0,
20MH1A0313,R2031032,DESIGN OF MACHINE MEMBERS-I,20,F,0,
20MH1A0313,R2031033,"MACHINING, MACHINE TOOLS & METROLOGY",19,ABSENT,0,
20MH1A0313,R203103D,RENEWABLE ENERGY SOURCES,21,F,0,
20MH1A0313,R203103I,NANO TECHNOLOGY,15,E,3,
20MH1A0314,R2031031,THERMAL ENGINEERING-II,19,F,0,
20MH1A0314,R2031032,DESIGN OF MACHINE MEMBERS-I,14,F,0,
20MH1A0314,R2031033,"MACHINING, MACHINE TOOLS & METROLOGY",12,F,0,
20MH1A0314,R2031035,THERMAL ENGINEERING LAB,8,D,1.5,
20MH1A0314,R203103D,RENEWABLE ENERGY SOURCES,16,F,0,
20MH1A0314,R203103I,NANO TECHNOLOGY,11,F,0,
20MH1A0315,R2031031,THERMAL ENGINEERING-II,21,E,3,
20MH1A0315,R2031032,DESIGN OF MACHINE MEMBERS-I,20,F,0,
20MH1A0315,R2031035,THERMAL ENGINEERING LAB,13,B,1.5,
20MH1A0317,R2031031,THERMAL ENGINEERING-II,13,F,0,
20MH1A0317,R2031032,DESIGN OF MACHINE MEMBERS-I,13,F,0,
20MH1A0317,R2031033,"MACHINING, MACHINE TOOLS & METROLOGY",5,F,0,
20MH1A0317,R2031035,THERMAL ENGINEERING LAB,8,D,1.5,
20MH1A0317,R203103D,RENEWABLE ENERGY SOURCES,16,F,0,
20MH1A0317,R203103I,NANO TECHNOLOGY,3,F,0,
20MH1A0318,R2031031,THERMAL ENGINEERING-II,16,F,0,
20MH1A0318,R2031032,DESIGN OF MACHINE MEMBERS-I,17,F,0,
20MH1A0319,R2031032,DESIGN OF MACHINE MEMBERS-I,18,E,3,
20MH1A0320,R2031031,THERMAL ENGINEERING-II,20,F,0,
20MH1A0320,R2031032,DESIGN OF MACHINE MEMBERS-I,19,F,0,
20MH1A0320,R2031033,"MACHINING, MACHINE TOOLS & METROLOGY",18,F,0,
20MH1A0320,R2031035,THERMAL ENGINEERING LAB,9,C,1.5,
20MH1A0320,R203103D,RENEWABLE ENERGY SOURCES,22,F,0,
20MH1A0320,R203103I,NANO TECHNOLOGY,20,E,3,
20MH1A0322,R2031031,THERMAL ENGINEERING-II,21,F,0,
20MH1A0322,R2031032,DESIGN OF MACHINE MEMBERS-I,22,F,0,
20MH1A0322,R203103D,RENEWABLE ENERGY SOURCES,21,F,0,
20MH1A0323,R2031031,THERMAL ENGINEERING-II,19,F,0,
20MH1A0323,R2031032,DESIGN OF MACHINE MEMBERS-I,23,F,0,
20MH1A0324,R2031031,THERMAL ENGINEERING-II,17,F,0,
20MH1A0324,R2031032,DESIGN OF MACHINE MEMBERS-I,17,F,0,
20MH1A0324,R2031033,"MACHINING, MACHINE TOOLS & METROLOGY",11,F,0,
20MH1A0324,R203103D,RENEWABLE ENERGY SOURCES,19,F,0,
20MH1A0324,R203103I,NANO TECHNOLOGY,19,E,3,
20MH1A0325,R2031032,DESIGN OF MACHINE MEMBERS-I,21,F,0,
20MH1A0326,R2031031,THERMAL ENGINEERING-II,17,F,0,
20MH1A0326,R2031032,DESIGN OF MACHINE MEMBERS-I,13,F,0,
20MH1A0326,R2031033,"MACHINING, MACHINE TOOLS & METROLOGY",12,ABSENT,0,
20MH1A0326,R203103D,RENEWABLE ENERGY SOURCES,15,F,0,
20MH1A0326,R203103I,NANO TECHNOLOGY,8,F,0,
20MH1A0327,R2031031,THERMAL ENGINEERING-II,21,F,0,
20MH1A0327,R2031032,DESIGN OF MACHINE MEMBERS-I,19,F,0,
20MH1A0328,R2031032,DESIGN OF MACHINE MEMBERS-I,24,E,3,
20MH1A0328,R2031033,"MACHINING, MACHINE TOOLS & METROLOGY",25,F,0,
20MH1A0329,R2031031,THERMAL ENGINEERING-II,16,F,0,
20MH1A0329,R2031033,"MACHINING, MACHINE TOOLS & METROLOGY",21,ABSENT,0,
20MH1A0329,R2031035,THERMAL ENGINEERING LAB,8,C,1.5,
20MH1A0330,R2031031,THERMAL ENGINEERING-II,14,F,0,
20MH1A0330,R2031032,DESIGN OF MACHINE MEMBERS-I,16,F,0,
20MH1A0330,R2031033,"MACHINING, MACHINE TOOLS & METROLOGY",16,F,0,
20MH1A0330,R2031035,THERMAL ENGINEERING LAB,8,D,1.5,
20MH1A0330,R203103D,RENEWABLE ENERGY SOURCES,21,F,0,
20MH1A0330,R203103I,NANO TECHNOLOGY,14,E,3,
20MH1A0331,R203103I,NANO TECHNOLOGY,17,E,3,
20MH1A0332,R2031031,THERMAL ENGINEERING-II,21,F,0,
20MH1A0332,R2031032,DESIGN OF MACHINE MEMBERS-I,20,F,0,
20MH1A0332,R2031033,"MACHINING, MACHINE TOOLS & METROLOGY",17,F,0,
20MH1A0403,R2031041,ANALOG ICS AND APPLICATIONS,19,F,0,
20MH1A0413,R2031041,ANALOG ICS AND APPLICATIONS,16,ABSENT,0,
