JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY KAKINADA,,,,,
"Result of I B.Tech II Semester (R19/R20) Regular/Supplementary Examinations, August-2022",,,,,
,College name: ADITYA COLLEGE OF ENGINEERING & TECHNOLOGY:P3,,,,
-----------------------------------------------------------------------------------------------------------------------,,,,,
Htno,Subcode,Subname,Internals,Grade,Credits
20P31A0120,R201202,ENGINEERING CHEMISTRY,12,F,0
20P31A0120,R201203,ENGINEERING MECHANICS,18,F,0
20P31A0120,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,13,F,0
20P31A0120,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLO,14,F,0
20P31A0123,R201201,MATHEMATICS-II,14,F,0
20P31A0123,R201202,ENGINEERING CHEMISTRY,13,E,3
20P31A0123,R201203,ENGINEERING MECHANICS,17,E,3
20P31A0124,R201203,ENGINEERING MECHANICS,20,D,3
20P31A0126,R201201,MATHEMATICS-II,18,F,0
20P31A0126,R201202,ENGINEERING CHEMISTRY,14,E,3
20P31A0126,R201203,ENGINEERING MECHANICS,23,F,0
Htno,Subcode,Subname,Internals,Grade,Credits
20P31A0126,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,17,F,0
20P31A0127,R201201,MATHEMATICS-II,17,F,0
20P31A0127,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,12,F,0
20P31A0127,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLO,11,F,0
20P31A0130,R201203,ENGINEERING MECHANICS,20,F,0
20P31A0131,R201202,ENGINEERING CHEMISTRY,12,F,0
20P31A0131,R201203,ENGINEERING MECHANICS,18,E,3
20P31A0131,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,14,E,3
20P31A0133,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,20,E,3
20P31A0134,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,20,E,3
20P31A0135,R201203,ENGINEERING MECHANICS,22,D,3
20P31A0136,R201203,ENGINEERING MECHANICS,21,F,0
20P31A0138,R201201,MATHEMATICS-II,16,ABSENT,0
20P31A0138,R201202,ENGINEERING CHEMISTRY,15,F,0
20P31A0138,R201203,ENGINEERING MECHANICS,17,F,0
20P31A0138,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,11,F,0
20P31A0138,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLO,11,ABSENT,0
20P31A0139,R201201,MATHEMATICS-II,17,F,0
20P31A0139,R201202,ENGINEERING CHEMISTRY,12,F,0
20P31A0139,R201203,ENGINEERING MECHANICS,18,F,0
20P31A0139,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,13,E,3
20P31A0142,R201203,ENGINEERING MECHANICS,16,F,0
20P31A0142,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,10,F,0
20P31A0142,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLO,11,F,0
20P31A0143,R201203,ENGINEERING MECHANICS,18,F,0
20P31A0143,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,11,F,0
20P31A0143,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLO,12,F,0
20P31A0144,R201201,MATHEMATICS-II,17,E,3
20P31A0144,R201202,ENGINEERING CHEMISTRY,17,F,0
20P31A0144,R201203,ENGINEERING MECHANICS,18,F,0
20P31A0144,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,16,E,3
20P31A0144,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLO,15,F,0
20P31A0145,R201202,ENGINEERING CHEMISTRY,16,F,0
20P31A0145,R201203,ENGINEERING MECHANICS,19,F,0
20P31A0145,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,18,E,3
20P31A0148,R201201,MATHEMATICS-II,15,F,0
20P31A0148,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,14,F,0
20P31A0151,R201201,MATHEMATICS-II,17,F,0
20P31A0151,R201202,ENGINEERING CHEMISTRY,15,F,0
20P31A0151,R201203,ENGINEERING MECHANICS,17,F,0
20P31A0151,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,13,E,3
20P31A0151,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLO,10,F,0
20P31A0159,R201201,MATHEMATICS-II,13,ABSENT,0
20P31A0159,R201202,ENGINEERING CHEMISTRY,10,F,0
20P31A0159,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,12,ABSENT,0
20P31A0160,R201201,MATHEMATICS-II,13,E,3
20P31A0160,R201202,ENGINEERING CHEMISTRY,13,F,0
20P31A0160,R201203,ENGINEERING MECHANICS,18,E,3
20P31A0160,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,10,E,3
