JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY KAKINADA,,,,,
"Result of I B.Tech II Semester (R19/R20) Regular/Supplementary Examinations, August-2022",,,,,
,College name: ADITYA COLLEGE OF ENGINEERING & TECHNOLOGY:P3,,,,
-----------------------------------------------------------------------------------------------------------------------,,,,,
Htno,Subcode,Subname,Internals,Grade,Credits
21P31A04H4,R201233,APPLIED PHYSICS LABORATORY,10,C,1.5
21P31A04H4,R201237,ELECTRONIC WORKSHOP LABORATORY,8,C,1.5
21P31A04H4,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,14,A,1.5
21P31A04H5,R201201,MATHEMATICS-II,24,B,3
21P31A04H5,R201207,APPLIED PHYSICS,25,C,3
21P31A04H5,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,22,D,3
21P31A04H5,R201213,NETWORK ANALYSIS,21,C,3
21P31A04H5,R201214,BASIC ELECTRICAL ENGINEERING,25,C,3
21P31A04H5,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04H5,R201233,APPLIED PHYSICS LABORATORY,15,B,1.5
21P31A04H5,R201237,ELECTRONIC WORKSHOP LABORATORY,13,A+,1.5
21P31A04H5,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,14,A,1.5
21P31A04H6,R201201,MATHEMATICS-II,14,E,3
21P31A04H6,R201207,APPLIED PHYSICS,17,F,0
21P31A04H6,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,12,F,0
21P31A04H6,R201213,NETWORK ANALYSIS,17,F,0
21P31A04H6,R201214,BASIC ELECTRICAL ENGINEERING,21,F,0
21P31A04H6,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
Htno,Subcode,Subname,Internals,Grade,Credits
21P31A04H6,R201233,APPLIED PHYSICS LABORATORY,6,B,1.5
21P31A04H6,R201237,ELECTRONIC WORKSHOP LABORATORY,10,C,1.5
21P31A04H6,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,14,A,1.5
21P31A04H7,R201201,MATHEMATICS-II,21,B,3
21P31A04H7,R201207,APPLIED PHYSICS,22,D,3
21P31A04H7,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,17,D,3
21P31A04H7,R201213,NETWORK ANALYSIS,22,C,3
21P31A04H7,R201214,BASIC ELECTRICAL ENGINEERING,22,C,3
21P31A04H7,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04H7,R201233,APPLIED PHYSICS LABORATORY,13,A,1.5
21P31A04H7,R201237,ELECTRONIC WORKSHOP LABORATORY,14,A+,1.5
21P31A04H7,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,13,A+,1.5
21P31A04H8,R201201,MATHEMATICS-II,18,E,3
21P31A04H8,R201207,APPLIED PHYSICS,21,F,0
21P31A04H8,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,17,E,3
21P31A04H8,R201213,NETWORK ANALYSIS,20,E,3
21P31A04H8,R201214,BASIC ELECTRICAL ENGINEERING,20,C,3
21P31A04H8,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04H8,R201233,APPLIED PHYSICS LABORATORY,9,B,1.5
21P31A04H8,R201237,ELECTRONIC WORKSHOP LABORATORY,11,B,1.5
21P31A04H8,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,14,A,1.5
21P31A04H9,R201201,MATHEMATICS-II,16,E,3
21P31A04H9,R201207,APPLIED PHYSICS,21,E,3
21P31A04H9,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,16,E,3
21P31A04H9,R201213,NETWORK ANALYSIS,20,D,3
21P31A04H9,R201214,BASIC ELECTRICAL ENGINEERING,24,D,3
21P31A04H9,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04H9,R201233,APPLIED PHYSICS LABORATORY,14,B,1.5
21P31A04H9,R201237,ELECTRONIC WORKSHOP LABORATORY,12,B,1.5
21P31A04H9,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,14,A,1.5
21P31A04I0,R201201,MATHEMATICS-II,19,D,3
21P31A04I0,R201207,APPLIED PHYSICS,23,B,3
21P31A04I0,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,19,E,3
21P31A04I0,R201213,NETWORK ANALYSIS,22,F,0
21P31A04I0,R201214,BASIC ELECTRICAL ENGINEERING,25,B,3
21P31A04I0,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04I0,R201233,APPLIED PHYSICS LABORATORY,15,A,1.5
21P31A04I0,R201237,ELECTRONIC WORKSHOP LABORATORY,13,A,1.5
21P31A04I0,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,14,A+,1.5
21P31A04I1,R201201,MATHEMATICS-II,22,A,3
21P31A04I1,R201207,APPLIED PHYSICS,23,A,3
21P31A04I1,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,19,D,3
21P31A04I1,R201213,NETWORK ANALYSIS,22,C,3
21P31A04I1,R201214,BASIC ELECTRICAL ENGINEERING,25,A,3
21P31A04I1,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04I1,R201233,APPLIED PHYSICS LABORATORY,14,A,1.5
21P31A04I1,R201237,ELECTRONIC WORKSHOP LABORATORY,13,A+,1.5
21P31A04I1,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,13,A,1.5
21P31A04I2,R201201,MATHEMATICS-II,26,A+,3
21P31A04I2,R201207,APPLIED PHYSICS,25,C,3
21P31A04I2,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,20,C,3
Htno,Subcode,Subname,Internals,Grade,Credits
21P31A04I2,R201213,NETWORK ANALYSIS,23,F,0
21P31A04I2,R201214,BASIC ELECTRICAL ENGINEERING,25,D,3
21P31A04I2,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04I2,R201233,APPLIED PHYSICS LABORATORY,12,B,1.5
21P31A04I2,R201237,ELECTRONIC WORKSHOP LABORATORY,11,B,1.5
21P31A04I2,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,14,A+,1.5
21P31A04I3,R201201,MATHEMATICS-II,22,C,3
21P31A04I3,R201207,APPLIED PHYSICS,23,C,3
21P31A04I3,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,20,C,3
21P31A04I3,R201213,NETWORK ANALYSIS,23,C,3
21P31A04I3,R201214,BASIC ELECTRICAL ENGINEERING,23,C,3
21P31A04I3,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04I3,R201233,APPLIED PHYSICS LABORATORY,14,A+,1.5
21P31A04I3,R201237,ELECTRONIC WORKSHOP LABORATORY,13,B,1.5
21P31A04I3,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,14,A+,1.5
21P31A04I4,R201201,MATHEMATICS-II,26,A+,3
21P31A04I4,R201207,APPLIED PHYSICS,25,C,3
21P31A04I4,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,24,C,3
21P31A04I4,R201213,NETWORK ANALYSIS,25,B,3
21P31A04I4,R201214,BASIC ELECTRICAL ENGINEERING,24,A+,3
21P31A04I4,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04I4,R201233,APPLIED PHYSICS LABORATORY,15,A+,1.5
21P31A04I4,R201237,ELECTRONIC WORKSHOP LABORATORY,13,A+,1.5
21P31A04I4,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,14,A+,1.5
21P31A04I5,R201201,MATHEMATICS-II,16,F,0
21P31A04I5,R201207,APPLIED PHYSICS,15,F,0
21P31A04I5,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,14,F,0
21P31A04I5,R201213,NETWORK ANALYSIS,15,F,0
21P31A04I5,R201214,BASIC ELECTRICAL ENGINEERING,17,F,0
21P31A04I5,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04I5,R201233,APPLIED PHYSICS LABORATORY,11,C,1.5
21P31A04I5,R201237,ELECTRONIC WORKSHOP LABORATORY,9,B,1.5
21P31A04I5,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,13,A,1.5
21P31A04I6,R201201,MATHEMATICS-II,20,D,3
21P31A04I6,R201207,APPLIED PHYSICS,24,C,3
21P31A04I6,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,18,E,3
21P31A04I6,R201213,NETWORK ANALYSIS,23,C,3
21P31A04I6,R201214,BASIC ELECTRICAL ENGINEERING,24,E,3
21P31A04I6,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04I6,R201233,APPLIED PHYSICS LABORATORY,15,A+,1.5
21P31A04I6,R201237,ELECTRONIC WORKSHOP LABORATORY,14,A,1.5
21P31A04I6,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,14,A+,1.5
21P31A04I7,R201201,MATHEMATICS-II,22,C,3
21P31A04I7,R201207,APPLIED PHYSICS,23,C,3
21P31A04I7,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,19,C,3
21P31A04I7,R201213,NETWORK ANALYSIS,22,D,3
21P31A04I7,R201214,BASIC ELECTRICAL ENGINEERING,25,C,3
21P31A04I7,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04I7,R201233,APPLIED PHYSICS LABORATORY,15,A+,1.5
21P31A04I7,R201237,ELECTRONIC WORKSHOP LABORATORY,13,A+,1.5
21P31A04I7,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,13,A+,1.5
Htno,Subcode,Subname,Internals,Grade,Credits
21P31A04I8,R201201,MATHEMATICS-II,27,A+,3
21P31A04I8,R201207,APPLIED PHYSICS,25,B,3
21P31A04I8,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,23,B,3
21P31A04I8,R201213,NETWORK ANALYSIS,23,B,3
21P31A04I8,R201214,BASIC ELECTRICAL ENGINEERING,25,C,3
21P31A04I8,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04I8,R201233,APPLIED PHYSICS LABORATORY,14,A+,1.5
21P31A04I8,R201237,ELECTRONIC WORKSHOP LABORATORY,13,A+,1.5
21P31A04I8,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,12,A,1.5
21P31A04I9,R201201,MATHEMATICS-II,21,B,3
21P31A04I9,R201207,APPLIED PHYSICS,22,C,3
21P31A04I9,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,19,D,3
21P31A04I9,R201213,NETWORK ANALYSIS,24,A+,3
21P31A04I9,R201214,BASIC ELECTRICAL ENGINEERING,24,C,3
21P31A04I9,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04I9,R201233,APPLIED PHYSICS LABORATORY,13,A+,1.5
21P31A04I9,R201237,ELECTRONIC WORKSHOP LABORATORY,13,B,1.5
21P31A04I9,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,14,A,1.5
21P31A04J0,R201201,MATHEMATICS-II,23,B,3
21P31A04J0,R201207,APPLIED PHYSICS,23,D,3
21P31A04J0,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,21,D,3
21P31A04J0,R201213,NETWORK ANALYSIS,22,D,3
21P31A04J0,R201214,BASIC ELECTRICAL ENGINEERING,25,C,3
21P31A04J0,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04J0,R201233,APPLIED PHYSICS LABORATORY,11,A+,1.5
21P31A04J0,R201237,ELECTRONIC WORKSHOP LABORATORY,12,A,1.5
21P31A04J0,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,13,A,1.5
21P31A04J1,R201201,MATHEMATICS-II,16,E,3
21P31A04J1,R201207,APPLIED PHYSICS,18,F,0
21P31A04J1,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,14,E,3
21P31A04J1,R201213,NETWORK ANALYSIS,19,F,0
21P31A04J1,R201214,BASIC ELECTRICAL ENGINEERING,23,F,0
21P31A04J1,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04J1,R201233,APPLIED PHYSICS LABORATORY,11,A,1.5
21P31A04J1,R201237,ELECTRONIC WORKSHOP LABORATORY,9,B,1.5
21P31A04J1,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,13,A,1.5
21P31A04J2,R201201,MATHEMATICS-II,16,E,3
21P31A04J2,R201207,APPLIED PHYSICS,18,F,0
21P31A04J2,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,12,F,0
21P31A04J2,R201213,NETWORK ANALYSIS,18,F,0
21P31A04J2,R201214,BASIC ELECTRICAL ENGINEERING,18,F,0
21P31A04J2,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04J2,R201233,APPLIED PHYSICS LABORATORY,8,D,1.5
21P31A04J2,R201237,ELECTRONIC WORKSHOP LABORATORY,8,C,1.5
21P31A04J2,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,13,A,1.5
21P31A04J3,R201201,MATHEMATICS-II,18,F,0
21P31A04J3,R201207,APPLIED PHYSICS,18,F,0
21P31A04J3,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,18,E,3
21P31A04J3,R201213,NETWORK ANALYSIS,20,F,0
21P31A04J3,R201214,BASIC ELECTRICAL ENGINEERING,21,F,0
21P31A04J3,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
Htno,Subcode,Subname,Internals,Grade,Credits
21P31A04J3,R201233,APPLIED PHYSICS LABORATORY,10,C,1.5
21P31A04J3,R201237,ELECTRONIC WORKSHOP LABORATORY,13,A,1.5
21P31A04J3,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,12,A,1.5
21P31A04J4,R201201,MATHEMATICS-II,26,A,3
21P31A04J4,R201207,APPLIED PHYSICS,27,A,3
21P31A04J4,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,23,D,3
21P31A04J4,R201213,NETWORK ANALYSIS,25,B,3
21P31A04J4,R201214,BASIC ELECTRICAL ENGINEERING,25,D,3
21P31A04J4,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04J4,R201233,APPLIED PHYSICS LABORATORY,15,A+,1.5
21P31A04J4,R201237,ELECTRONIC WORKSHOP LABORATORY,13,B,1.5
21P31A04J4,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,13,A,1.5
21P31A04J5,R201201,MATHEMATICS-II,24,A+,3
21P31A04J5,R201207,APPLIED PHYSICS,25,B,3
21P31A04J5,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,23,A+,3
21P31A04J5,R201213,NETWORK ANALYSIS,23,A,3
21P31A04J5,R201214,BASIC ELECTRICAL ENGINEERING,24,A,3
21P31A04J5,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04J5,R201233,APPLIED PHYSICS LABORATORY,13,A+,1.5
21P31A04J5,R201237,ELECTRONIC WORKSHOP LABORATORY,14,A+,1.5
21P31A04J5,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,12,A,1.5
21P31A04J6,R201201,MATHEMATICS-II,18,F,0
21P31A04J6,R201207,APPLIED PHYSICS,19,E,3
21P31A04J6,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,13,F,0
21P31A04J6,R201213,NETWORK ANALYSIS,17,F,0
21P31A04J6,R201214,BASIC ELECTRICAL ENGINEERING,23,F,0
21P31A04J6,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04J6,R201233,APPLIED PHYSICS LABORATORY,10,B,1.5
21P31A04J6,R201237,ELECTRONIC WORKSHOP LABORATORY,9,C,1.5
21P31A04J6,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,14,A,1.5
21P31A04J7,R201201,MATHEMATICS-II,22,C,3
21P31A04J7,R201207,APPLIED PHYSICS,22,D,3
21P31A04J7,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,19,D,3
21P31A04J7,R201213,NETWORK ANALYSIS,21,D,3
21P31A04J7,R201214,BASIC ELECTRICAL ENGINEERING,24,B,3
21P31A04J7,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04J7,R201233,APPLIED PHYSICS LABORATORY,15,A+,1.5
21P31A04J7,R201237,ELECTRONIC WORKSHOP LABORATORY,14,A+,1.5
21P31A04J7,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,14,A,1.5
21P31A04J8,R201201,MATHEMATICS-II,17,E,3
21P31A04J8,R201207,APPLIED PHYSICS,21,F,0
21P31A04J8,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,15,F,0
21P31A04J8,R201213,NETWORK ANALYSIS,20,F,0
21P31A04J8,R201214,BASIC ELECTRICAL ENGINEERING,22,F,0
21P31A04J8,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04J8,R201233,APPLIED PHYSICS LABORATORY,11,B,1.5
21P31A04J8,R201237,ELECTRONIC WORKSHOP LABORATORY,12,B,1.5
21P31A04J8,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,13,A,1.5
21P31A04J9,R201201,MATHEMATICS-II,20,E,3
21P31A04J9,R201207,APPLIED PHYSICS,21,F,0
21P31A04J9,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,23,D,3
Htno,Subcode,Subname,Internals,Grade,Credits
21P31A04J9,R201213,NETWORK ANALYSIS,21,E,3
21P31A04J9,R201214,BASIC ELECTRICAL ENGINEERING,21,F,0
21P31A04J9,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04J9,R201233,APPLIED PHYSICS LABORATORY,14,A+,1.5
21P31A04J9,R201237,ELECTRONIC WORKSHOP LABORATORY,12,A,1.5
21P31A04J9,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,14,A+,1.5
21P31A04K0,R201201,MATHEMATICS-II,26,D,3
21P31A04K0,R201207,APPLIED PHYSICS,24,D,3
21P31A04K0,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,22,C,3
21P31A04K0,R201213,NETWORK ANALYSIS,20,F,0
21P31A04K0,R201214,BASIC ELECTRICAL ENGINEERING,21,C,3
21P31A04K0,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04K0,R201233,APPLIED PHYSICS LABORATORY,14,A+,1.5
21P31A04K0,R201237,ELECTRONIC WORKSHOP LABORATORY,11,B,1.5
21P31A04K0,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,15,A+,1.5
21P31A04K1,R201201,MATHEMATICS-II,22,A,3
21P31A04K1,R201207,APPLIED PHYSICS,25,A,3
21P31A04K1,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,25,C,3
21P31A04K1,R201213,NETWORK ANALYSIS,25,D,3
21P31A04K1,R201214,BASIC ELECTRICAL ENGINEERING,21,C,3
21P31A04K1,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04K1,R201233,APPLIED PHYSICS LABORATORY,14,A+,1.5
21P31A04K1,R201237,ELECTRONIC WORKSHOP LABORATORY,9,B,1.5
21P31A04K1,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,10,A,1.5
21P31A04K2,R201201,MATHEMATICS-II,23,D,3
21P31A04K2,R201207,APPLIED PHYSICS,22,E,3
21P31A04K2,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,21,D,3
21P31A04K2,R201213,NETWORK ANALYSIS,23,F,0
21P31A04K2,R201214,BASIC ELECTRICAL ENGINEERING,16,F,0
21P31A04K2,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04K2,R201233,APPLIED PHYSICS LABORATORY,12,A,1.5
21P31A04K2,R201237,ELECTRONIC WORKSHOP LABORATORY,10,B,1.5
21P31A04K2,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,13,A,1.5
21P31A04K3,R201201,MATHEMATICS-II,26,A+,3
21P31A04K3,R201207,APPLIED PHYSICS,25,D,3
21P31A04K3,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,22,B,3
21P31A04K3,R201213,NETWORK ANALYSIS,23,C,3
21P31A04K3,R201214,BASIC ELECTRICAL ENGINEERING,24,D,3
21P31A04K3,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04K3,R201233,APPLIED PHYSICS LABORATORY,15,A+,1.5
21P31A04K3,R201237,ELECTRONIC WORKSHOP LABORATORY,14,A,1.5
21P31A04K3,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,15,A+,1.5
21P31A04K4,R201201,MATHEMATICS-II,24,C,3
21P31A04K4,R201207,APPLIED PHYSICS,24,D,3
21P31A04K4,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,22,C,3
21P31A04K4,R201213,NETWORK ANALYSIS,21,F,0
21P31A04K4,R201214,BASIC ELECTRICAL ENGINEERING,20,E,3
21P31A04K4,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04K4,R201233,APPLIED PHYSICS LABORATORY,13,A+,1.5
21P31A04K4,R201237,ELECTRONIC WORKSHOP LABORATORY,8,C,1.5
21P31A04K4,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,14,A+,1.5
Htno,Subcode,Subname,Internals,Grade,Credits
21P31A04K5,R201201,MATHEMATICS-II,25,A+,3
21P31A04K5,R201207,APPLIED PHYSICS,25,A+,3
21P31A04K5,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,23,B,3
21P31A04K5,R201213,NETWORK ANALYSIS,23,C,3
21P31A04K5,R201214,BASIC ELECTRICAL ENGINEERING,22,A,3
21P31A04K5,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04K5,R201233,APPLIED PHYSICS LABORATORY,15,A+,1.5
21P31A04K5,R201237,ELECTRONIC WORKSHOP LABORATORY,9,B,1.5
21P31A04K5,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,15,A+,1.5
21P31A04K6,R201201,MATHEMATICS-II,26,C,3
21P31A04K6,R201207,APPLIED PHYSICS,24,D,3
21P31A04K6,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,22,D,3
21P31A04K6,R201213,NETWORK ANALYSIS,24,C,3
21P31A04K6,R201214,BASIC ELECTRICAL ENGINEERING,21,E,3
21P31A04K6,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04K6,R201233,APPLIED PHYSICS LABORATORY,12,A,1.5
21P31A04K6,R201237,ELECTRONIC WORKSHOP LABORATORY,8,C,1.5
21P31A04K6,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,14,A+,1.5
21P31A04K7,R201201,MATHEMATICS-II,25,A,3
21P31A04K7,R201207,APPLIED PHYSICS,24,D,3
21P31A04K7,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,23,A,3
21P31A04K7,R201213,NETWORK ANALYSIS,22,C,3
21P31A04K7,R201214,BASIC ELECTRICAL ENGINEERING,21,C,3
21P31A04K7,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04K7,R201233,APPLIED PHYSICS LABORATORY,14,A+,1.5
21P31A04K7,R201237,ELECTRONIC WORKSHOP LABORATORY,14,A,1.5
21P31A04K7,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,15,A+,1.5
21P31A04K8,R201201,MATHEMATICS-II,19,F,0
21P31A04K8,R201207,APPLIED PHYSICS,21,F,0
21P31A04K8,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,21,F,0
21P31A04K8,R201213,NETWORK ANALYSIS,23,F,0
21P31A04K8,R201214,BASIC ELECTRICAL ENGINEERING,18,F,0
21P31A04K8,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04K8,R201233,APPLIED PHYSICS LABORATORY,13,A,1.5
21P31A04K8,R201237,ELECTRONIC WORKSHOP LABORATORY,8,C,1.5
21P31A04K8,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,14,A,1.5
21P31A04K9,R201201,MATHEMATICS-II,22,D,3
21P31A04K9,R201207,APPLIED PHYSICS,24,C,3
21P31A04K9,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,21,E,3
21P31A04K9,R201213,NETWORK ANALYSIS,20,E,3
21P31A04K9,R201214,BASIC ELECTRICAL ENGINEERING,20,D,3
21P31A04K9,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04K9,R201233,APPLIED PHYSICS LABORATORY,14,A+,1.5
21P31A04K9,R201237,ELECTRONIC WORKSHOP LABORATORY,11,B,1.5
21P31A04K9,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,10,C,1.5
21P31A04L0,R201201,MATHEMATICS-II,24,B,3
21P31A04L0,R201207,APPLIED PHYSICS,25,C,3
21P31A04L0,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,24,D,3
21P31A04L0,R201213,NETWORK ANALYSIS,23,C,3
21P31A04L0,R201214,BASIC ELECTRICAL ENGINEERING,22,B,3
21P31A04L0,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
Htno,Subcode,Subname,Internals,Grade,Credits
21P31A04L0,R201233,APPLIED PHYSICS LABORATORY,13,A,1.5
21P31A04L0,R201237,ELECTRONIC WORKSHOP LABORATORY,9,A,1.5
21P31A04L0,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,14,A+,1.5
21P31A04L1,R201201,MATHEMATICS-II,23,C,3
21P31A04L1,R201207,APPLIED PHYSICS,22,D,3
21P31A04L1,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,23,F,0
21P31A04L1,R201213,NETWORK ANALYSIS,17,D,3
21P31A04L1,R201214,BASIC ELECTRICAL ENGINEERING,19,C,3
21P31A04L1,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04L1,R201233,APPLIED PHYSICS LABORATORY,13,A+,1.5
21P31A04L1,R201237,ELECTRONIC WORKSHOP LABORATORY,12,B,1.5
21P31A04L1,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,15,A+,1.5
21P31A04L2,R201201,MATHEMATICS-II,17,F,0
21P31A04L2,R201207,APPLIED PHYSICS,21,F,0
21P31A04L2,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,22,F,0
21P31A04L2,R201213,NETWORK ANALYSIS,19,F,0
21P31A04L2,R201214,BASIC ELECTRICAL ENGINEERING,18,F,0
21P31A04L2,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04L2,R201233,APPLIED PHYSICS LABORATORY,11,B,1.5
21P31A04L2,R201237,ELECTRONIC WORKSHOP LABORATORY,8,C,1.5
21P31A04L2,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,10,B,1.5
21P31A04L3,R201201,MATHEMATICS-II,23,B,3
21P31A04L3,R201207,APPLIED PHYSICS,23,C,3
21P31A04L3,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,16,F,0
21P31A04L3,R201213,NETWORK ANALYSIS,21,F,0
21P31A04L3,R201214,BASIC ELECTRICAL ENGINEERING,17,E,3
21P31A04L3,R201230,ENVIRONMENTAL SCIENCE,0,COMPLE,0
21P31A04L3,R201233,APPLIED PHYSICS LABORATORY,14,A+,1.5
21P31A04L3,R201237,ELECTRONIC WORKSHOP LABORATORY,8,C,1.5
21P31A04L3,R201238,BASIC ELECTRICAL ENGINEERING LABORATORY,11,B,1.5
21P31A04L4,R201201,MATHEMATICS-II,22,C,3
21P31A04L4,R201207,APPLIED PHYSICS,21,E,3
21P31A04L4,R201212,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,20,F,0
21P31A04L4,R201213,NETWORK ANALYSIS,22,E,3
