,,,,,,,,,,,,,,,,,,,,,
,Sno,,,Htno,,,Subcode,,,Subname,,,Internals,,,Grade,,,Cr,,
103,,,20MH1A0117,,,R2041013,,,SKILL ADVANCED COURSE/SOFT SKILL COURSE,,,0,,,A+,,,2,,,
104,,,20MH1A0117,,,R2041014,,,INDUSTRIAL/RESEARCH INTERNSHIP 2 MONTHS,,,0,,,D,,,3,,,
105,,,20MH1A0117,,,R204101D,,,URBAN TRANSPORTATION PLANNING,,,15,,,E,,,3,,,
106,,,20MH1A0117,,,R204101E,,,GROUND IMPROVEMENT TECHNIQUES,,,18,,,D,,,3,,,
107,,,20MH1A0117,,,R204101J,,,EARTH & ROCK FILL DAMS,,,16,,,D,,,3,,,
108,,,20MH1A0117,,,R204103P,,,ADDITIVE MANUFACTURING,,,22,,,D,,,3,,,
109,,,20MH1A0117,,,R204103W,,,SAFETY ENGINEERING,,,14,,,F,,,0,,,
110,,,20MH1A0121,,,R2041011,,,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,,,30,,,A,,,3,,,
111,,,20MH1A0121,,,R2041013,,,SKILL ADVANCED COURSE/SOFT SKILL COURSE,,,0,,,A+,,,2,,,
112,,,20MH1A0121,,,R2041014,,,INDUSTRIAL/RESEARCH INTERNSHIP 2 MONTHS,,,0,,,D,,,3,,,
113,,,20MH1A0121,,,R204101D,,,URBAN TRANSPORTATION PLANNING,,,19,,,E,,,3,,,
114,,,20MH1A0121,,,R204101E,,,GROUND IMPROVEMENT TECHNIQUES,,,20,,,D,,,3,,,
115,,,20MH1A0121,,,R204101J,,,EARTH & ROCK FILL DAMS,,,18,,,C,,,3,,,
116,,,20MH1A0121,,,R204103P,,,ADDITIVE MANUFACTURING,,,22,,,C,,,3,,,
117,,,20MH1A0121,,,R204103W,,,SAFETY ENGINEERING,,,19,,,E,,,3,,,
118,,,20MH1A04B3,,,R2041011,,,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,,,23,,,D,,,3,,,
119,,,20MH1A04B3,,,R2041041,,,INDUSTRIAL/RESEARCH INTERNSHIP 2 MONTHS,,,0,,,C,,,3,,,
120,,,20MH1A04B3,,,R204104A,,,OPTICAL COMMUNICATION,,,19,,,F,,,0,,,
121,,,20MH1A04B3,,,R204104D,,,SATELLITE COMMUNICATIONS,,,24,,,ABSENT,,,0,,,
122,,,20MH1A04B3,,,R204104G,,,RADAR ENGINEERING,,,22,,,D,,,3,,,
123,,,20MH1A04B3,,,R204104Z,,,DESIGNER TOOLS (HFSS MICROWAVE STUDIO CS,,,0,,,C,,,2,,,
124,,,20MH1A04B3,,,R204105O,,,IMAGE PROCESSING,,,16,,,F,,,0,,,
125,,,20MH1A04B3,,,R204105Y,,,CRYPTOGRAPHY & NETWORK SECURITY,,,23,,,D,,,3,,,
126,,,20MH1A0509,,,R2041011,,,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,,,30,,,C,,,3,,,
127,,,20MH1A0509,,,R204104U,,,BASIC ELECTRONICS,,,14,,,E,,,3,,,
128,,,20MH1A0509,,,R2041053,,,MEAN STACK TECHNOLOGIES-MODULE II-ANGULA,,,0,,,B,,,2,,,
129,,,20MH1A0509,,,R2041055,,,INDUSTRIAL/RESEARCH INTERNSHIP 2 MONTHS,,,0,,,B,,,3,,,
130,,,20MH1A0509,,,R204105A,,,CLOUD COMPUTING,,,12,,,E,,,3,,,
131,,,20MH1A0509,,,R204105F,,,SOCIAL NETWORKS & SEMANTIC WEB,,,18,,,C,,,3,,,
